Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
80,5.7,2.6,3.5,1,200
81,5.5,2.4,3.8,1.1,200
82,5.5,2.4,3.7,1,200
83,5.8,2.7,3.9,1.2,200
84,6,2.7,5.1,1.6,200
85,5.4,3,4.5,1.5,200
86,6,3.4,4.5,1.6,200
87,6.7,3.1,4.7,1.5,200
88,6.3,2.3,4.4,1.3,200
89,5.6,3,4.1,1.3,200
90,5.5,2.5,4,1.3,200
91,5.5,2.6,4.4,1.2,200
92,6.1,3,4.6,1.4,200
93,5.8,2.6,4,1.2,200
94,5,2.3,3.3,1,200
95,5.6,2.7,4.2,1.3,200
96,5.7,3,4.2,1.2,200
97,5.7,2.9,4.2,1.3,200
98,6.2,2.9,4.3,1.3,200
99,5.1,2.5,3,1.1,200
100,5.7,2.8,4.1,1.3,200
101,6.3,3.3,6,2.5,300
102,5.8,2.7,5.1,1.9,300
103,7.1,3,5.9,2.1,300
104,6.3,2.9,5.6,1.8,300
105,6.5,3,5.8,2.2,300
106,7.6,3,6.6,2.1,300
107,4.9,2.5,4.5,1.7,300
108,7.3,2.9,6.3,1.8,300
109,6.7,2.5,5.8,1.8,300
110,7.2,3.6,6.1,2.5,300
111,6.5,3.2,5.1,2,300
112,6.4,2.7,5.3,1.9,300
113,6.8,3,5.5,2.1,300
114,5.7,2.5,5,2,300
115,5.8,2.8,5.1,2.4,300
116,6.4,3.2,5.3,2.3,300
117,6.5,3,5.5,1.8,300
118,7.7,3.8,6.7,2.2,300
119,7.7,2.6,6.9,2.3,300
120,6,2.2,5,1.5,300
121,6.9,3.2,5.7,2.3,300
122,5.6,2.8,4.9,2,300
123,7.7,2.8,6.7,2,300
124,6.3,2.7,4.9,1.8,300
125,6.7,3.3,5.7,2.1,300
126,7.2,3.2,6,1.8,300
127,6.2,2.8,4.8,1.8,300
128,6.1,3,4.9,1.8,300
129,6.4,2.8,5.6,2.1,300
130,7.2,3,5.8,1.6,300
131,7.4,2.8,6.1,1.9,300
132,7.9,3.8,6.4,2,300
133,6.4,2.8,5.6,2.2,300
134,6.3,2.8,5.1,1.5,300
135,6.1,2.6,5.6,1.4,300
136,7.7,3,6.1,2.3,300
137,6.3,3.4,5.6,2.4,300
138,6.4,3.1,5.5,1.8,300
139,6,3,4.8,1.8,300
140,6.9,3.1,5.4,2.1,300
141,6.7,3.1,5.6,2.4,300
142,6.9,3.1,5.1,2.3,300
143,5.8,2.7,5.1,1.9,300
144,6.8,3.2,5.9,2.3,300
145,6.7,3.3,5.7,2.5,300
146,6.7,3,5.2,2.3,300
147,6.3,2.5,5,1.9,300
148,6.5,3,5.2,2,300
149,6.2,3.4,5.4,2.3,300
150,5.9,3,5.1,1.8,300
